channel,biomarker,n_ad,n_cn,ad_mean,ad_median,cn_mean,cn_median,mean_difference_ad_minus_cn,mann_whitney_u,p_value,rank_biserial_effect,fdr_q_value,significant_fdr_0_05
Cz,weighted_clustering,36,29,0.5859634561618132,0.5881766930221943,0.6419328148797685,0.6505887526276226,-0.055969358717955275,346.0,0.020556238816907227,-0.33716475095785436,0.03843122909247873,True
F3,node_strength,36,29,5.119359599459874,5.055803714133291,6.442675589637689,6.478080043473194,-1.3233159901778153,275.0,0.0011418968564871337,-0.4731800766283525,0.00395627262011075,True
F3,weighted_clustering,36,29,0.5765618214081301,0.5915267061309173,0.6684849212942925,0.6575237454801444,-0.09192309988616243,312.0,0.005697025339919875,-0.4022988505747126,0.014410122918620859,True
F4,node_strength,36,29,4.926536097475508,5.011855612432971,6.483325403174497,6.410259677988032,-1.556789305698989,244.0,0.00025014633217941627,-0.5325670498084292,0.0015366131833878427,True
F4,weighted_clustering,36,29,0.5788518161058783,0.5823712608891265,0.6698205365938956,0.6627892457655103,-0.0909687204880173,314.0,0.006175122170120597,-0.3984674329501916,0.014751680739732539,True
F7,node_strength,36,29,3.2024373503066275,2.7349219425101268,5.132275384033273,5.24083242468212,-1.9298380337266452,237.0,0.00017369642925721233,-0.5459770114942528,0.0012448244096766885,True
F7,weighted_clustering,36,29,0.4504551845151231,0.4897533212130458,0.6330617576153156,0.6682019357516576,-0.18260657310019246,218.0,6.195803493133913e-05,-0.5823754789272031,0.0005633869604621112,True
F8,weighted_clustering,36,29,0.5471453646217835,0.5260853019804232,0.6437090229784951,0.6653620786633768,-0.09656365835671155,336.0,0.014364961862134304,-0.3563218390804598,0.028076970912353415,True
Fp2,node_strength,36,29,5.262955790478184,4.804376450058978,6.665180318387629,7.15195769071579,-1.4022245279094445,329.0,0.011073124296618128,-0.36973180076628354,0.023807217237728974,True
Fp2,weighted_clustering,36,29,0.5455080794743812,0.5406917271459248,0.6198063188581018,0.6481626666540405,-0.0742982393837206,336.0,0.014364961862134304,-0.3563218390804598,0.028076970912353415,True
Fz,weighted_clustering,36,29,0.6238263401172258,0.6232751215317636,0.70210498459148,0.7138557011605128,-0.07827864447425414,306.0,0.004456378743630033,-0.4137931034482759,0.012774952398406094,True
O1,node_strength,36,29,4.952883738619643,4.941901029579821,3.720007599319664,3.938792370395227,1.2328761392999787,775.0,0.0008616533204048856,0.4846743295019158,0.0033682811615827345,True
O1,weighted_clustering,36,29,0.6265089958747985,0.6301687135506573,0.5068586406398166,0.5575835963493582,0.11965035523498191,720.0,0.009150845460427721,0.3793103448275863,0.02070980814728379,True
O2,node_strength,36,29,4.73795229745782,4.839080674145649,2.6799679396600875,2.7830313250422476,2.0579843577977326,881.0,2.2336115665381657e-06,0.6877394636015326,4.8022648680570564e-05,True
O2,weighted_clustering,36,29,0.6401982296678151,0.653050639311602,0.4108335552775403,0.4829363552682068,0.22936467439027486,886.0,1.6103205899254247e-06,0.6973180076628354,4.8022648680570564e-05,True
P3,node_strength,36,29,6.284909495085751,6.370167265926721,4.830170045991564,5.189425211663198,1.4547394490941867,768.0,0.0011960824200334828,0.47126436781609193,0.00395627262011075,True
P3,weighted_clustering,36,29,0.5812857415275512,0.5984752418037158,0.46030510119837836,0.4980247099417698,0.12098064032917283,787.0,0.0004820242323771688,0.5076628352490422,0.002590880249027282,True
P4,weighted_clustering,36,29,0.6107472214295254,0.6234717270361932,0.5095218875786395,0.5214370240216275,0.10122533385088595,753.0,0.002351206007004961,0.44252873563218387,0.007221561307229523,True
Pz,node_strength,36,29,7.081804341788395,7.53826315317812,5.720465441911204,5.798897999015884,1.3613388998771905,779.0,0.0007118411123342818,0.4923371647509578,0.0033682811615827345,True
T4,weighted_clustering,36,29,0.48837045923380834,0.5182134455367837,0.5989336550496658,0.5935319917849334,-0.11056319581585744,311.0,0.005470725497283342,-0.40421455938697315,0.014410122918620859,True
T5,node_strength,36,29,4.612342372902685,4.690231596211456,3.2993811990143023,3.3510534688830376,1.3129611738883824,776.0,0.0008216782260495112,0.48659003831417635,0.0033682811615827345,True
T6,node_strength,36,29,4.692344910434425,4.874020312406848,3.184488760321594,2.9941757492043757,1.507856150112831,832.0,4.4189434805274827e-05,0.5938697318007662,0.0005633869604621112,True
T6,weighted_clustering,36,29,0.6452301982094597,0.6654462647799875,0.4817342565287698,0.5244076049274262,0.16349594168068993,825.0,6.551011168164084e-05,0.5804597701149425,0.0005633869604621112,True
