channel,biomarker,n_ad,n_cn,ad_mean,ad_median,cn_mean,cn_median,mean_difference_ad_minus_cn,mann_whitney_u,p_value,rank_biserial_effect,fdr_q_value,significant_fdr_0_05
C3,relative_theta_power,36,29,0.05415861215442419,0.05230502970516682,0.051468800496438455,0.050631895661354065,0.0026898116579857356,697.0,0.02128782532603373,0.3352490421455938,0.037750410244833145,True
C3,theta_alpha_ratio,36,29,4.265082057979372,4.470036268234253,3.645422840940541,3.6507680416107178,0.6196592170388309,765.0,0.0013732162277651128,0.4655172413793103,0.003804953297765833,True
C4,relative_theta_power,36,29,0.054068373826642833,0.05296768806874752,0.0512864015482623,0.05073283240199089,0.0027819722783805345,725.0,0.007532190829624289,0.38888888888888884,0.014951960900597468,True
C4,theta_alpha_ratio,36,29,4.229761673344506,4.396415710449219,3.6612777915494195,3.8412277698516846,0.5684838817950868,757.0,0.0019704661920090984,0.4501915708812261,0.004944754783720946,True
Cz,relative_theta_power,36,29,0.05411836598068476,0.05326068215072155,0.05173467908953798,0.050238773226737976,0.0023836868911467773,699.0,0.019846674136109393,0.3390804597701149,0.03567037378516959,True
Cz,theta_alpha_ratio,36,29,4.232616689470079,4.390747547149658,3.719020025483493,3.8715338706970215,0.5135966639865863,729.0,0.00642746622301906,0.39655172413793105,0.013151584733254385,True
F3,relative_theta_power,36,29,0.06088818878763252,0.05673331022262573,0.051124005353656306,0.05043472349643707,0.009764183433976212,820.0,8.635367342612731e-05,0.5708812260536398,0.0005776856463289168,True
F3,theta_alpha_ratio,36,29,4.18413543370035,4.203905820846558,3.101851537309844,2.936859369277954,1.0822838963905057,791.0,0.0003950945724641679,0.5153256704980842,0.0013473737984034443,True
F4,relative_theta_power,36,29,0.059663251559767455,0.05588262341916561,0.0512905579445691,0.050659649074077606,0.008372693615198358,816.0,0.00010738970319358464,0.5632183908045978,0.0006492195693066708,True
F4,theta_alpha_ratio,36,29,4.153142299917009,4.192253112792969,3.0393236793320755,2.9431371688842773,1.1138186205849339,803.0,0.00021415936915871353,0.5383141762452108,0.0008333809049362957,True
F7,relative_theta_power,36,29,0.06261352190954818,0.06005925126373768,0.05268615856766701,0.051667165011167526,0.00992736334188117,814.0,0.00011963876302562866,0.5593869731800767,0.00069182415140907,True
F7,theta_alpha_ratio,36,29,3.785020669301351,3.891767740249634,2.813504256051162,2.7685036659240723,0.971516413250189,775.0,0.0008616533204048856,0.4846743295019158,0.0024913019916054297,True
F8,relative_theta_power,36,29,0.061322855970097914,0.05746546573936939,0.052742798138281394,0.051446523517370224,0.00858005783181652,760.0,0.0017230084008563904,0.45593869731800774,0.004583202346277998,True
F8,theta_alpha_ratio,36,29,3.8164057003127203,4.120126485824585,2.751310475941362,2.661160945892334,1.0650952243713583,802.0,0.00022557678629854622,0.5363984674329503,0.0008333809049362957,True
Fp1,relative_alpha_power,36,29,0.020289938250142667,0.016008494421839714,0.026665422455247105,0.021794280037283897,-0.006375484205104438,354.0,0.027073057141173952,-0.32183908045977017,0.04616303333046328,True
Fp1,relative_theta_power,36,29,0.060116264762149915,0.05685472674667835,0.05113566898066422,0.050665367394685745,0.008980595781485697,775.0,0.0008616533204048856,0.4846743295019158,0.0024913019916054297,True
Fp1,theta_alpha_ratio,36,29,3.988824547992812,4.155581474304199,2.825691284804509,2.7384121417999268,1.1631332631883033,821.0,8.173920331119775e-05,0.5727969348659003,0.0005776856463289168,True
Fp2,relative_alpha_power,36,29,0.01975810770980186,0.015833011828362942,0.026699007777818317,0.019195234403014183,-0.006940900068016457,338.0,0.015451858970352013,-0.3524904214559387,0.028543017264678023,True
Fp2,relative_theta_power,36,29,0.05962847897575961,0.05731874145567417,0.0512864006490543,0.05010135844349861,0.008342078326705311,752.0,0.0024563770970473403,0.4406130268199233,0.005833895605487432,True
Fp2,theta_alpha_ratio,36,29,4.029222814573182,4.355085134506226,2.8629565403379242,2.888301372528076,1.1662662742352579,809.0,0.00015627423364721624,0.5498084291187739,0.0007966077617658359,True
Fz,relative_alpha_power,36,29,0.018748139729723334,0.015732472762465477,0.024617838544835305,0.02193359285593033,-0.0058696988151119706,351.0,0.024445567556098932,-0.3275862068965517,0.0422241621423527,True
Fz,relative_theta_power,36,29,0.0637224724309312,0.05823998339474201,0.05264108897796992,0.05123365297913551,0.011081383452961273,841.0,2.631927783302388e-05,0.6111111111111112,0.00031822399561747054,True
Fz,slow_fast_ratio,36,29,69.21515332327948,69.71170043945312,58.697220835192454,60.3590087890625,10.517932488087027,695.0,0.022819281330065583,0.3314176245210727,0.03993374232761477,True
Fz,theta_alpha_ratio,36,29,4.470564319027795,4.426405906677246,3.0527882740415375,2.9071855545043945,1.4177760449862573,819.0,9.12135231045658e-05,0.5689655172413792,0.0005776856463289168,True
O1,delta_alpha_ratio,36,29,62.684964153501724,67.45399856567383,37.01787336941423,25.28363037109375,25.667090784087492,809.0,0.00015627423364721624,0.5498084291187739,0.0007966077617658359,True
O1,relative_alpha_power,36,29,0.031516123614791364,0.020771419629454613,0.07214358195277124,0.06425851583480835,-0.04062745833797987,209.0,3.72352409950872e-05,-0.5996168582375478,0.0003809451578728152,True
O1,relative_beta_power,36,29,0.004658790816190756,0.004213152453303337,0.005904895454195553,0.005485188215970993,-0.001246104638004797,294.0,0.0026797401743129255,-0.4367816091954023,0.00614492143420033,True
O1,relative_delta_power,36,29,0.9024438129531013,0.9128935933113098,0.8681524395942688,0.872894287109375,0.03429137335883248,757.0,0.0019704661920090984,0.4501915708812261,0.004944754783720946,True
O1,relative_theta_power,36,29,0.0613812528964546,0.05787140503525734,0.05379908981508222,0.052312225103378296,0.007582163081372384,733.0,0.005470725497283342,0.40421455938697326,0.011549309383153721,True
O1,slow_fast_ratio,36,29,52.18944056828817,53.89101028442383,31.2477785965492,21.86840057373047,20.94166197173897,823.0,7.320040528685025e-05,0.5766283524904214,0.0005776856463289168,True
O1,theta_alpha_ratio,36,29,3.197467909918891,3.508385181427002,1.662284592102314,1.2289319038391113,1.535183317816577,859.0,8.965803382708e-06,0.6455938697318007,0.000170350264271452,True
O2,delta_alpha_ratio,36,29,62.332330518298676,66.86018753051758,31.968385795067096,22.90201759338379,30.36394472323158,846.0,1.96208246737653e-05,0.6206896551724137,0.00026095696816107845,True
