fold,split,subject_id
1,train,sub-002
1,train,sub-003
1,train,sub-004
1,train,sub-005
1,train,sub-006
1,train,sub-007
1,train,sub-008
1,train,sub-009
1,train,sub-010
1,train,sub-012
1,train,sub-014
1,train,sub-015
1,train,sub-021
1,train,sub-022
1,train,sub-024
1,train,sub-026
1,train,sub-027
1,train,sub-028
1,train,sub-029
1,train,sub-031
1,train,sub-032
1,train,sub-033
1,train,sub-035
1,train,sub-038
1,train,sub-039
1,train,sub-040
1,train,sub-042
1,train,sub-044
1,train,sub-046
1,train,sub-047
1,train,sub-048
1,train,sub-049
1,train,sub-051
1,train,sub-052
1,train,sub-053
1,train,sub-055
1,train,sub-056
1,train,sub-059
1,train,sub-061
1,train,sub-063
1,train,sub-065
1,validation,sub-001
1,validation,sub-011
1,validation,sub-013
1,validation,sub-016
1,validation,sub-019
1,validation,sub-030
1,validation,sub-037
1,validation,sub-041
1,validation,sub-057
1,validation,sub-058
1,validation,sub-062
1,test,sub-017
1,test,sub-018
1,test,sub-020
1,test,sub-023
1,test,sub-025
1,test,sub-034
1,test,sub-036
1,test,sub-043
1,test,sub-045
1,test,sub-050
1,test,sub-054
1,test,sub-060
1,test,sub-064
2,train,sub-002
2,train,sub-003
2,train,sub-004
2,train,sub-005
2,train,sub-007
2,train,sub-008
2,train,sub-012
2,train,sub-013
2,train,sub-014
2,train,sub-015
2,train,sub-016
2,train,sub-017
2,train,sub-020
2,train,sub-021
2,train,sub-023
2,train,sub-024
2,train,sub-026
2,train,sub-028
2,train,sub-031
2,train,sub-034
2,train,sub-035
2,train,sub-036
2,train,sub-037
2,train,sub-038
2,train,sub-039
2,train,sub-042
2,train,sub-043
2,train,sub-044
2,train,sub-045
2,train,sub-046
2,train,sub-047
2,train,sub-050
2,train,sub-051
2,train,sub-052
2,train,sub-054
2,train,sub-055
2,train,sub-057
2,train,sub-059
2,train,sub-060
2,train,sub-063
2,train,sub-065
2,validation,sub-006
2,validation,sub-011
2,validation,sub-018
2,validation,sub-025
2,validation,sub-027
2,validation,sub-033
2,validation,sub-041
2,validation,sub-053
2,validation,sub-058
2,validation,sub-061
2,validation,sub-064
2,test,sub-001
2,test,sub-009
2,test,sub-010
2,test,sub-019
2,test,sub-022
2,test,sub-029
2,test,sub-030
2,test,sub-032
2,test,sub-040
2,test,sub-048
2,test,sub-049
2,test,sub-056
2,test,sub-062
3,train,sub-001
3,train,sub-003
3,train,sub-004
3,train,sub-005
3,train,sub-009
3,train,sub-010
3,train,sub-011
3,train,sub-012
3,train,sub-013
3,train,sub-015
3,train,sub-016
3,train,sub-017
3,train,sub-019
3,train,sub-020
3,train,sub-021
3,train,sub-022
3,train,sub-023
3,train,sub-025
3,train,sub-028
3,train,sub-029
3,train,sub-030
3,train,sub-033
3,train,sub-034
3,train,sub-038
3,train,sub-039
3,train,sub-043
3,train,sub-045
3,train,sub-047
3,train,sub-048
3,train,sub-049
3,train,sub-050
3,train,sub-052
3,train,sub-053
3,train,sub-054
3,train,sub-055
3,train,sub-056
3,train,sub-059
3,train,sub-060
3,train,sub-061
3,train,sub-062
3,train,sub-065
3,validation,sub-006
3,validation,sub-014
3,validation,sub-018
3,validation,sub-032
3,validation,sub-035
3,validation,sub-036
3,validation,sub-037
3,validation,sub-040
3,validation,sub-041
3,validation,sub-051
3,validation,sub-064
3,test,sub-002
3,test,sub-007
3,test,sub-008
3,test,sub-024
3,test,sub-026
3,test,sub-027
3,test,sub-031
3,test,sub-042
3,test,sub-044
3,test,sub-046
3,test,sub-057
3,test,sub-058
3,test,sub-063
4,train,sub-001
4,train,sub-002
4,train,sub-007
4,train,sub-008
4,train,sub-009
4,train,sub-010
4,train,sub-011
4,train,sub-015
4,train,sub-017
4,train,sub-019
4,train,sub-020
4,train,sub-022
4,train,sub-023
4,train,sub-024
4,train,sub-025
4,train,sub-026
4,train,sub-027
4,train,sub-029
4,train,sub-030
4,train,sub-031
4,train,sub-033
4,train,sub-034
4,train,sub-036
4,train,sub-038
4,train,sub-039
4,train,sub-040
4,train,sub-041
4,train,sub-042
4,train,sub-044
4,train,sub-045
4,train,sub-048
4,train,sub-049
4,train,sub-050
4,train,sub-053
4,train,sub-054
4,train,sub-056
4,train,sub-057
4,train,sub-058
4,train,sub-059
4,train,sub-063
4,train,sub-064
4,validation,sub-005
4,validation,sub-013
4,validation,sub-018
4,validation,sub-028
4,validation,sub-032
4,validation,sub-035
4,validation,sub-043
4,validation,sub-046
4,validation,sub-060
4,validation,sub-061
4,validation,sub-062
4,test,sub-003
4,test,sub-004
4,test,sub-006
4,test,sub-012
4,test,sub-014
4,test,sub-016
4,test,sub-021
4,test,sub-037
4,test,sub-047
4,test,sub-051
4,test,sub-052
4,test,sub-055
4,test,sub-065
5,train,sub-004
5,train,sub-006
5,train,sub-007
5,train,sub-008
5,train,sub-009
5,train,sub-010
5,train,sub-014
5,train,sub-016
5,train,sub-017
5,train,sub-018
5,train,sub-019
5,train,sub-020
5,train,sub-022
5,train,sub-023
5,train,sub-024
5,train,sub-025
